run,loss,max_error,success,epochs_used
1,1.11225586033048e-11,0.002805948257446289,False,2000
2,1.5414697296378677e-11,0.003438591957092285,False,2000
3,0.08291050791740417,1.9919171333312988,False,2000
4,1.5335807710542548e-12,0.00533682107925415,False,2000
5,0.11228833347558975,2.0305867195129395,False,2000
6,5.005199033014662e-10,0.002140134572982788,False,2000
7,2.9981131319800625e-06,1.737119436264038,False,2000
8,0.05126635730266571,1.962222933769226,False,2000
9,0.041961994022130966,2.019815683364868,False,2000
10,0.05021689832210541,2.016237735748291,False,2000
11,0.04173124581575394,2.0700297355651855,False,2000
12,0.08870115876197815,2.0405006408691406,False,2000
13,3.9916540117701516e-06,0.0016263723373413086,False,2000
14,0.0009774332866072655,1.28914475440979,False,2000
15,0.03009323962032795,2.001540184020996,False,2000
16,0.1088043600320816,2.0164201259613037,False,2000
17,0.26566749811172485,1.8285698890686035,False,2000
18,0.000999200507067144,0.0019926726818084717,False,2000
19,1.454317569149488e-11,0.0012897849082946777,False,2000
20,0.012033735401928425,0.44205522537231445,False,2000
21,0.07094825804233551,2.0552549362182617,False,2000
22,0.09030996263027191,2.0299203395843506,False,2000
23,0.08048438280820847,2.039393186569214,False,2000
24,0.00043804460437968373,0.0017698705196380615,False,2000
25,6.813436925767746e-08,0.046041011810302734,False,2000
26,2.2117249045550125e-06,0.0009923408506438136,True,1227
27,0.0026435803156346083,0.04241293668746948,False,2000
28,2.623535692691803e-05,0.0009978244779631495,True,952
29,0.07509596645832062,2.0778021812438965,False,2000
30,0.05945893004536629,2.055783271789551,False,2000
31,0.00011098664253950119,0.0011146366596221924,False,2000
32,0.1186463013291359,1.9831113815307617,False,2000
33,7.385078104604759e-10,0.0010037422180175781,False,2000
34,3.554275363609749e-12,0.007501721382141113,False,2000
35,9.851898852275554e-08,0.009173333644866943,False,2000
36,0.041654955595731735,1.9451854228973389,False,2000
37,0.22621819376945496,2.154423475265503,False,2000
38,4.7027424443513155e-05,0.0009993314743041992,True,1780
39,0.00015124665515031666,0.0016601979732513428,False,2000
40,4.6516419388353825e-05,0.016297072172164917,False,2000
41,0.0005602396558970213,0.0022749602794647217,False,2000
42,3.2396335427620215e-06,0.0011530518531799316,False,2000
43,0.0018749405862763524,0.0016240179538726807,False,2000
44,0.00022025962243787944,0.001666247844696045,False,2000
45,8.567654731450602e-05,0.0009986887453123927,True,1512
46,0.07183670252561569,2.0327227115631104,False,2000
47,6.677794885945332e-07,0.0009965598583221436,True,901
48,9.331481123808771e-06,0.03232613205909729,False,2000
49,0.0026852271985262632,0.02788645029067993,False,2000
50,0.08874684572219849,2.054612398147583,False,2000
51,7.268976332852617e-06,1.5497031211853027,False,2000
52,5.1513776355704977e-08,0.022871345281600952,False,2000
53,0.0006351532647386193,0.0029253363609313965,False,2000
54,9.983854397432879e-05,0.0008598546264693141,True,1426
55,0.0335451103746891,2.054440498352051,False,2000
56,9.71357549950369e-10,0.0012805759906768799,False,2000
57,0.03287528455257416,2.110856771469116,False,2000
58,1.0097856995017196e-09,0.002152949571609497,False,2000
59,5.276609226712026e-05,0.000995932030491531,True,1505
60,0.04524841904640198,2.0655949115753174,False,2000
61,0.2776815593242645,1.9671759605407715,False,2000
62,0.03739412873983383,2.010099172592163,False,2000
63,9.931430395226926e-05,0.0008553266525268555,True,1342
64,0.04331274330615997,2.1664834022521973,False,2000
65,0.042851101607084274,2.001767635345459,False,2000
66,1.55367021331676e-11,0.026257779449224472,False,2000
67,0.08409348130226135,2.0580222606658936,False,2000
68,2.1223006115178578e-05,0.0014061033725738525,False,2000
69,8.036865619942546e-05,0.000999731826595962,True,1297
70,3.330488834762946e-05,0.001576930284500122,False,2000
71,0.10760761797428131,2.033701181411743,False,2000
72,0.0008264844655059278,0.002738058567047119,False,2000
73,0.0015601245686411858,1.9568878412246704,False,2000
74,9.473116051594843e-07,0.001488804817199707,False,2000
75,5.9111918915277784e-08,0.018684744834899902,False,2000
76,0.09085460007190704,2.028987407684326,False,2000
77,0.031320396810770035,2.0118613243103027,False,2000
78,9.574289278058146e-11,0.0009998679161071777,True,1298
79,9.943384065991268e-05,0.0006282160757109523,True,1214
80,8.616733021549194e-11,0.0088731050491333,False,2000
81,0.08165787905454636,2.026664972305298,False,2000
82,0.000541948014870286,2.0819263458251953,False,2000
83,1.9543117346643157e-08,0.0016659200191497803,False,2000
84,3.179727414703848e-08,0.047765254974365234,False,2000
85,3.3413261917303316e-06,0.0009908060310408473,True,1129
86,9.240009798960891e-12,0.022731542587280273,False,2000
87,9.120519098360091e-05,0.0009992718696594238,True,1261
88,9.991631668526679e-05,0.0009942054748535156,True,1781
89,5.280634152171615e-09,0.024668574333190918,False,2000
90,0.00016618678637314588,0.0011657476425170898,False,2000
91,6.255594087178906e-08,0.017363131046295166,False,2000
92,0.0830218568444252,2.0474088191986084,False,2000
93,0.00022734951926395297,0.0013572275638580322,False,2000
94,9.98202885966748e-05,0.0009830892086029053,True,1453
95,0.07851570844650269,2.052562952041626,False,2000
96,2.7431396997651403e-12,0.011511266231536865,False,2000
97,0.09749996662139893,2.0346429347991943,False,2000
98,2.919343586316181e-12,0.0077370405197143555,False,2000
99,0.00012897506530862302,0.0014285147190093994,False,2000
100,1.2361166227492504e-05,0.0009964237688109279,True,1358
